model,accuracy,precision,recall,f1,roc_auc,pr_auc
xgboost,0.7565649396735273,0.527927927927928,0.7834224598930482,0.6307857911733046,0.8429951690821256,0.6555735304770453
logistic_regression,0.7402413058907026,0.5069204152249135,0.7834224598930482,0.615546218487395,0.841225554780542,0.63061745577941
lightgbm,0.7551454932576295,0.5287128712871287,0.713903743315508,0.6075085324232082,0.833229998191635,0.639841153654371
random_forest,0.7913413768630234,0.631578947368421,0.5133689839572193,0.5663716814159292,0.8306427445813636,0.6282578827679425
