threshold,TP,FP,TN,FN,precision,recall,f1,estimated_loss_from_fn,estimated_cost_from_fp,retention_intervention_cost,total_estimated_cost,estimated_revenue_saved,net_benefit,ref_precision,ref_recall,ref_f1,is_recommended
0.3,333,398,637,41,0.45554035567715456,0.8903743315508021,0.6027149321266968,20500,19900,51720,92120,99900,7780,0.4555403556771545,0.8903743315508021,0.6027149321266968,True
0.4,311,330,705,63,0.48517940717628705,0.8315508021390374,0.6128078817733991,31500,16500,51720,99720,93300,-6420,0.485179407176287,0.8315508021390374,0.6128078817733991,False
0.5,293,262,773,81,0.527927927927928,0.7834224598930482,0.6307857911733046,40500,13100,48280,101880,87900,-13980,0.527927927927928,0.7834224598930482,0.6307857911733046,False
0.6,259,199,836,115,0.5655021834061136,0.6925133689839572,0.6225961538461539,57500,9950,44400,111850,77700,-34150,0.5655021834061136,0.6925133689839572,0.6225961538461539,False
0.7,208,118,917,166,0.6380368098159509,0.5561497326203209,0.5942857142857143,83000,5900,39120,128020,62400,-65620,0.6380368098159509,0.5561497326203209,0.5942857142857143,False
